company_name,show_name,booth_no,show_type,product_name,company_url,country,country_code,country_code_lower,flag_url,region
Chemische Fabrik Berg GmbH,Ingredients,2A-06,Ingredients,Butalbital,detail.php?exid=CF25131699&sidSuffix=s20260203221243470&previous=,GERMANY,DE,de,https://flagcdn.com/w40/de.png,Europe
Chemische Fabrik Berg GmbH,Ingredients,2A-06,Ingredients,Butalbital,detail.php?exid=CF25131699&sidSuffix=s20260203221243470&previous=,GERMANY,DE,de,https://flagcdn.com/w40/de.png,Europe
Chemische Fabrik Berg GmbH,Ingredients,2A-06,Ingredients,Cetylpyridinium Bromide,detail.php?exid=CF25131699&sidSuffix=s20260203221243470&previous=,GERMANY,DE,de,https://flagcdn.com/w40/de.png,Europe
Chemische Fabrik Berg GmbH,Ingredients,2A-06,Ingredients,Cetylpyridinium Bromide,detail.php?exid=CF25131699&sidSuffix=s20260203221243470&previous=,GERMANY,DE,de,https://flagcdn.com/w40/de.png,Europe
CHEMPLAST SANMAR LTD,Outsourcing,1D-06,Outsourcing,not provided,detail.php?exid=CF26153997&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png,Asia
CHEMPRO PHARMA,Outsourcing,1D-08,Outsourcing,not provided,detail.php?exid=CF24170531&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png,Asia
CHEMPRO PHARMA,Outsourcing,1D-08,Outsourcing,not provided,not provided,INDIA,IN,in,https://flagcdn.com/w40/in.png,Asia
CHEMPRO PHARMA,Outsourcing,1D-08,Outsourcing,not provided,not provided,INDIA,IN,in,https://flagcdn.com/w40/in.png,Asia
"Chemtour Biotech (Suzhou) Co.,Ltd.",Ingredients,1H-42,Ingredients,not provided,detail.php?exid=C19191210&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
"Chemvon Biotechnology Co., Ltd.",Ingredients,2C-32,Ingredients,not provided,detail.php?exid=C16125487&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
"Chemvon Biotechnology Co., Ltd.",Ingredients,2C-32,Ingredients,not provided,detail.php?exid=C16125487&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
"Chemyouth Life Science (Suzhou)Co.,Ltd",Ingredients,1F-48,Ingredients,not provided,detail.php?exid=CF26185245&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
"Chengdu Aupone Pharmaceutical Co.,Ltd",Ingredients,1E-46,Ingredients,not provided,detail.php?exid=CF26154962&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
CHENGDU BRILLIANT PHARMACEUTICAL GROUP,Ingredients,1G-01,Ingredients,not provided,detail.php?exid=CF24131760&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
"Chengdu Pukang Weixin Biotechnology Co., Ltd.",Ingredients,3B-28,Ingredients,not provided,detail.php?exid=CF26168473&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
Chengdu Shengnuo Biopharm Co.Ltd,Ingredients,1G-06,Ingredients,not provided,detail.php?exid=C17159688&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
Chengdu Shengnuo Biopharm Co.Ltd,Ingredients,1G-06,Ingredients,not provided,detail.php?exid=C17159688&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
"Chengdu Tachem Co., LTD",Bio Pharma,3G-09,Bio Pharma,not provided,detail.php?exid=CF26126905&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
"Chengdu ZY Biochemical Technology Co.,Ltd.",Bio Pharma,3F-08,Bio Pharma,not provided,detail.php?exid=CF25131935&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
Chieron Active Ingredients Pvt. Ltd.,Ingredients,3D-21,Ingredients,not provided,detail.php?exid=C19171085&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png,Asia
China Zhuhai Jinwan Biopharma,Ingredients,3B-32,Ingredients,not provided,detail.php?exid=CF26120392&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
CHIROGATE INTERNATIONAL INC.,Ingredients,1H-07,Ingredients,not provided,detail.php?exid=CF25148522&sidSuffix=s20260203221243470&previous=,TAIWAN,TW,tw,https://flagcdn.com/w40/tw.png,Asia
CHIROGATE INTERNATIONAL INC.,Ingredients,1H-07,Ingredients,not provided,detail.php?exid=CF25148522&sidSuffix=s20260203221243470&previous=,TAIWAN,TW,tw,https://flagcdn.com/w40/tw.png,Asia
"Chiwa Co.,Ltd.",Ingredients,3E-46,Ingredients,not provided,NA,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
"Chongqing Ensky Pharmaceutial Co.,Ltd.",Ingredients,1B-06,Ingredients,not provided,detail.php?exid=C16149071&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
"Chongqing Shenghuaxi Pharmaceutical Co., Ltd.",Ingredients,3B-20,Ingredients,not provided,detail.php?exid=CF25190706&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
"Chongqing Southwest No.2 Pharmaceutical Factory Co., Ltd.",Ingredients,3C-34,Ingredients,not provided,detail.php?exid=CF26176603&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
"CHORI CO., LTD",Ingredients,1F-32,Ingredients,not provided,detail.php?exid=C14016309&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
"CHORI CO., LTD",Ingredients,1F-32,Ingredients,not provided,detail.php?exid=C14016309&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
"ChromaJean Co., Ltd.",Bio Pharma,3F-03,Bio Pharma,not provided,detail.php?exid=CF25171883&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
"ChromaJean Co., Ltd.",Bio Pharma,3F-03,Bio Pharma,not provided,detail.php?exid=CF25171883&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
"ChromaJean Co., Ltd.",Bio Pharma,3F-03,Bio Pharma,not provided,detail.php?exid=CF25171883&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
CHUKAN BUTSU LTD.,Ingredients,3A-10,Ingredients,not provided,detail.php?exid=C14013688&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
CHUKAN BUTSU LTD.,Ingredients,3A-10,Ingredients,not provided,detail.php?exid=C14013688&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
CHUKAN BUTSU LTD.,Ingredients,3A-10,Ingredients,not provided,detail.php?exid=C14013688&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
CHUKAN BUTSU LTD.,Ingredients,3A-10,Ingredients,not provided,detail.php?exid=CF23166808&sidSuffix=s20260203221243470&previous=,RUSSIAN FEDERATION,RU,ru,https://flagcdn.com/w40/ru.png,Europe
CHUKAN BUTSU LTD.,Ingredients,3A-10,Ingredients,not provided,detail.php?exid=CF23166808&sidSuffix=s20260203221243470&previous=,RUSSIAN FEDERATION,RU,ru,https://flagcdn.com/w40/ru.png,Europe
CHUKAN BUTSU LTD.,Ingredients,3A-10,Ingredients,not provided,detail.php?exid=CF24122085&sidSuffix=s20260203221243470&previous=,DENMARK,DK,dk,https://flagcdn.com/w40/dk.png,Europe
CHUKAN BUTSU LTD.,Ingredients,3A-10,Ingredients,not provided,detail.php?exid=CF24122085&sidSuffix=s20260203221243470&previous=,DENMARK,DK,dk,https://flagcdn.com/w40/dk.png,Europe
CHUKAN BUTSU LTD.,Ingredients,3A-10,Ingredients,not provided,detail.php?exid=CF24122085&sidSuffix=s20260203221243470&previous=,DENMARK,DK,dk,https://flagcdn.com/w40/dk.png,Europe
CHUKAN BUTSU LTD.,Ingredients,3A-10,Ingredients,not provided,detail.php?exid=CF21165656&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png,Asia
CHUKAN BUTSU LTD.,Ingredients,3A-10,Ingredients,not provided,detail.php?exid=C14177207&sidSuffix=s20260203221243470&previous=,USA,US,us,https://flagcdn.com/w40/us.png,North America
CM Plus Corporation,Bio Pharma,0.0003,Bio Pharma,not provided,detail.php?exid=C14018993&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
Cohance Lifesciences Limited,Outsourcing,1A-27,Outsourcing,not provided,detail.php?exid=C14019020&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png,Asia
CONCORD BIOTECH LIMITED,Outsourcing,1D-36,Outsourcing,not provided,detail.php?exid=CF22160311&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png,Asia
COSTECH Pharma Inc.,Ingredients,2F-47,Ingredients,not provided,detail.php?exid=CF25153478&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
COSTECH Pharma Inc.,Ingredients,2F-47,Ingredients,not provided,detail.php?exid=CF25153478&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
CPA (Chemical Pharmaceutical Association),Ingredients,IT-01,Ingredients,not provided,detail.php?exid=C14016391&sidSuffix=s20260203221243470&previous=,RUSSIAN FEDERATION,RU,ru,https://flagcdn.com/w40/ru.png,Europe
CPA (Chemical Pharmaceutical Association),Ingredients,IT-01,Ingredients,not provided,detail.php?exid=CF23174605&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
CPA (Chemical Pharmaceutical Association),Ingredients,IT-01,Ingredients,not provided,detail.php?exid=C14016390&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
Croda Japan K.K.,Bio Pharma,3H-29,Bio Pharma,not provided,detail.php?exid=CF23185561&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
Croda Japan K.K.,Bio Pharma,3H-29,Bio Pharma,not provided,detail.php?exid=CF23185561&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
Croda Japan K.K.,Bio Pharma,3H-29,Bio Pharma,not provided,detail.php?exid=CF23185561&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
"CSIM CO., LTD.",Outsourcing,1C-33,Outsourcing,not provided,detail.php?exid=CF23116810&sidSuffix=s20260203221243470&previous=,SOUTH KOREA,KR,kr,https://flagcdn.com/w40/kr.png,Asia
"CSIM CO., LTD.",Outsourcing,1C-33,Outsourcing,not provided,detail.php?exid=CF23116810&sidSuffix=s20260203221243470&previous=,SOUTH KOREA,KR,kr,https://flagcdn.com/w40/kr.png,Asia
"CSIM CO., LTD.",Outsourcing,1C-33,Outsourcing,not provided,detail.php?exid=CF23116810&sidSuffix=s20260203221243470&previous=,SOUTH KOREA,KR,kr,https://flagcdn.com/w40/kr.png,Asia
