company_name,show_name,booth_no
"Farmasino Pharmaceuticals (Anhui) Co., Ltd",Ingredients,3B-35
Fermion Oy,Outsourcing,1A-30
FIS,Outsourcing,1A-24
FLAMMA SPA,Ingredients,IT-20
Formosa Laboratories Japan Inc.,Ingredients,1E-36
"Formosa Laboratories, Inc.",Ingredients,1E-36
FORMULATRIX International Trading FZ-LLC,Bio Pharma,3G-05
Fuji Chemicals Ltd.,Ingredients,2A-25
Fujian Genohope Biotech Ltd.,Ingredients,3B-24
"FUJIFILM Toyama Chemical Co., Ltd.",Bio Pharma,3E-10
"FUJIMOTO CHEMICALS Co., LTD.",Ingredients,2H-23
"Fukuzyu Pharmaceutical Co.,Ltd.",Ingredients,2G-28
"FuXin Custchem Fine Chemical Co.,Ltd.",Ingredients,1E-44
"Fuxin Jintelai Fluorine Chemical Co., Ltd.",Ingredients,2J-16
GD BIOTECH Limited,Ingredients,1G-45
"Genchem & Genpham (Changzhou) Co., Ltd.",Ingredients,1J-41
Genovior Biotech Corporation,Outsourcing,1E-05
"Gensu Biotech Co., Ltd.",Bio Pharma,3F-06
GL BIOCHEM（SHANGHAI）LTD.,Bio Pharma,3E-28
"Global Information, Inc.",Bio Pharma,3H-01
"GODO SHIGEN CO.,LTD.",Ingredients,2A-42
"Guangdong Raffles PharmaTech Co., Ltd.",Bio Pharma,3G-28
"Hamari Chemicals, Ltd.",Ingredients,2F-32
"HANGZHOU INSURE CHEMICAL CO.,LTD",Ingredients,3C-19
"Hangzhou Leap Chem Co., Ltd.",Ingredients,1H-49
HANGZHOU PHARMCO CO LTD,Outsourcing,1E-35
"HANGZHOU TOMSON BIOPHARMA CO.,LTD.",Bio Pharma,3H-06
Hangzhou Verychem Science And Technology Co.Ltd.,Ingredients,2J-19
HARI ORGOCHEM PVT LTD,Ingredients,2D-27
HAS Healthcare Advanced Synthesis,Outsourcing,1B-37
"Healthytree (Hangzhou) Medical Device Co., Ltd",Ingredients,3C-18
"HEBEI DAPENG PHARM & CHEM CO., LTD",Outsourcing,1A-10
"Hebei Guangxiang Pharmaceutical Co., Ltd.",Ingredients,2J-37
Hedinger,Ingredients,1H-35
Heraeus Precious Metals,Ingredients,1H-12
Hetero Drugs Limited,Ingredients,2D-22
"HighChem Company, Ltd.",Ingredients,1E-32
HIKAL LIMITED,Ingredients,3B-08
HitGen Inc.,Bio Pharma,3E-26
Honour Lab Limited,Outsourcing,1B-41
Hovione,Outsourcing,1B-31
"Huanggang Luban Pharmaceutical Co., ltd.",Ingredients,3A-30
HUATAI BIOPHARM INC.,Ingredients,1C-07
"Hubei Gedian Humanwell Pharmaceutical Co.,ltd.",Ingredients,2K-32
"HUBEI HUIDA HIGH-TECH CO., LTD.",Ingredients,1G-44
"Hubei Tianshu Pharmaceutical Co., Ltd.",Ingredients,2K-16
"Hubei XinJing New Material Co.,LTD",Ingredients,1B-12
"Hunan Huateng Pharmaceutical Co., Ltd.",Outsourcing,1D-26
Hunan Jiudian Hongyang Pharmaceutical,Ingredients,2J-32
"Hunan Weite Pharmaceutical Co., Ltd.",Ingredients,1F-46
HYDRUS CHEMICAL INC.,Ingredients,2D-40
IBSA,Ingredients,IT-17
ICE Pharma,Outsourcing,1C-27
"Ichimaru Co., Ltd",Bio Pharma,3E-30
ICROM,Ingredients,IT-18
IDEOLON,Outsourcing,1B-28
"IL Contract Packaging Co., Ltd.",Outsourcing,1B-13
"IL Pharma Packaging Co., Ltd.",Outsourcing,1B-13
ILS Inc.,Ingredients,2H-35
IMS MICRONIZZAZIONI,Ingredients,IT-11
"Inabata & Co., Ltd.",Bio Pharma,3E-21
INDENA,Ingredients,IT-09
"INIST ST CO.,LTD",Ingredients,3D-46
International Pharmaceutical Excipients Council Japan,Ingredients,1J-29
"ISEKYU CO., LTD.",Ingredients,3D-04
ITOCHU CHEMICAL FRONTIER Corporation,Ingredients,1J-34
Japan Active Pharmaceutical Ingredient Association,Ingredients,2G-26
Japan Biological Informatics Consortium (JBIC),Bio Pharma,3G-02
JASCO Corporation,Bio Pharma,3G-30
JAY FINECHEM PRIVATE LIMITED,Ingredients,2E-28
"Jiangsu Dawning Pharmaceutical Co., Ltd.",Bio Pharma,3H-02
"Jiangsu Guotai Guomian Trading Co., Ltd.",Ingredients,2J-05
"Jiangsu Hansoh Pharmaceutical Group Co., Ltd.",Outsourcing,1J-10
"JIANGSU JIAERKE PHARMACEUTICALS GROUP CORP., LTD.",Ingredients,1H-43
"Jiangsu Qingquan Chemical Co., Ltd",Ingredients,1D-07
